id,displayName,biome,category,completionType,prefabName,globalKey
item.acorn,Acorns,Global,Materials,ItemCollected,Acorn,
item.amber,Amber,Global,Materials,ItemCollected,Amber,
item.amberpearl,Amber Pearl,Global,Materials,ItemCollected,AmberPearl,
item.ancientseed,Ancient Seed,BlackForest,Items,ItemCollected,AncientSeed,
item.armorashlandsmediumchest,Breastplate of Ask,Ashlands,Armor,ItemCollected,ArmorAshlandsMediumChest,
item.armorashlandsmediumlegs,Trousers of Ask,Ashlands,Armor,ItemCollected,ArmorAshlandsMediumlegs,
item.armorberserkerchest,Patterns of the Bear,BlackForest,Armor,ItemCollected,ArmorBerserkerChest,
item.armorberserkerlegs,Loincloth of the Bear,BlackForest,Armor,ItemCollected,ArmorBerserkerLegs,
item.armorberserkerundeadchest,Vilebone Cage,Plains,Armor,ItemCollected,ArmorBerserkerUndeadChest,
item.armorberserkerundeadlegs,Vilebone Drapes,Plains,Armor,ItemCollected,ArmorBerserkerUndeadLegs,
item.armorbronzechest,Bronze Plate Tunic,BlackForest,Armor,ItemCollected,ArmorBronzeChest,
item.armorbronzelegs,Bronze Plate Leggings,BlackForest,Armor,ItemCollected,ArmorBronzeLegs,
item.armorcarapacechest,Carapace Breastplate,Mistlands,Armor,ItemCollected,ArmorCarapaceChest,
item.armorcarapacelegs,Carapace Greaves,Mistlands,Armor,ItemCollected,ArmorCarapaceLegs,
item.armordress1,Plain Brown Dress,Global,Hildir,ItemCollected,ArmorDress1,
item.armordress10,Simple Undyed Dress,Global,Hildir,ItemCollected,ArmorDress10,
item.armordress2,Brown Dress with Shawl,Global,Hildir,ItemCollected,ArmorDress2,
item.armordress3,Brown Dress with Beads,Global,Hildir,ItemCollected,ArmorDress3,
item.armordress4,Plain Blue Dress,Global,Hildir,ItemCollected,ArmorDress4,
item.armordress5,Blue Dress with Shawl,Global,Hildir,ItemCollected,ArmorDress5,
item.armordress6,Blue Dress with Beads,Global,Hildir,ItemCollected,ArmorDress6,
item.armordress7,Plain Yellow Dress,Global,Hildir,ItemCollected,ArmorDress7,
item.armordress8,Yellow Dress with Shawl,Global,Hildir,ItemCollected,ArmorDress8,
item.armordress9,Yellow Dress with Beads,Global,Hildir,ItemCollected,ArmorDress9,
item.armorfenringchest,Fenris Coat,Mountain,Armor,ItemCollected,ArmorFenringChest,
item.armorfenringlegs,Fenris Leggings,Mountain,Armor,ItemCollected,ArmorFenringLegs,
