PrefabName,NameToken,ItemType,MaxStack,Weight,Biome,ChecklistCategory,IncludeInChecklist
Acorn,$item_oakseeds,Material,100,0.1,Global,Materials,true
Amber,$item_amber,Material,20,0.1,Global,Materials,true
AmberPearl,$item_amberpearl,Material,50,0.1,Global,Materials,true
AncientSeed,$item_ancientseed,Misc,50,1,BlackForest,Items,true
ArmorAshlandsMediumChest,$item_chest_medium_ashlands,Chest,1,5,Ashlands,Armor,true
ArmorAshlandsMediumlegs,$item_legs_medium_ashlands,Legs,1,5,Ashlands,Armor,true
ArmorBerserkerChest,$item_chest_berserker,Chest,1,5,BlackForest,Armor,true
ArmorBerserkerLegs,$item_legs_berserker,Legs,1,5,BlackForest,Armor,true
ArmorBerserkerUndeadChest,$item_chest_berserker_undead,Chest,1,5,BlackForest,Armor,true
ArmorBerserkerUndeadLegs,$item_legs_berserker_undead,Legs,1,5,BlackForest,Armor,true
ArmorBronzeChest,$item_chest_bronze,Chest,1,10,BlackForest,Armor,true
ArmorBronzeLegs,$item_legs_bronze,Legs,1,10,BlackForest,Armor,true
ArmorCarapaceChest,$item_chest_carapace,Chest,1,10,Mistlands,Armor,true
ArmorCarapaceLegs,$item_legs_carapace,Legs,1,10,Mistlands,Armor,true
ArmorDress1,$item_chest_dress1,Chest,1,10,Global,Armor,true
ArmorDress10,$item_chest_dress10,Chest,1,10,Global,Armor,true
ArmorDress2,$item_chest_dress2,Chest,1,10,Global,Armor,true
ArmorDress3,$item_chest_dress3,Chest,1,10,Global,Armor,true
ArmorDress4,$item_chest_dress4,Chest,1,10,Global,Armor,true
ArmorDress5,$item_chest_dress5,Chest,1,10,Global,Armor,true
ArmorDress6,$item_chest_dress6,Chest,1,10,Global,Armor,true
ArmorDress7,$item_chest_dress7,Chest,1,10,Global,Armor,true
ArmorDress8,$item_chest_dress8,Chest,1,10,Global,Armor,true
ArmorDress9,$item_chest_dress9,Chest,1,10,Global,Armor,true
ArmorFenringChest,$item_chest_fenris,Chest,1,10,Mountain,Armor,true
ArmorFenringLegs,$item_legs_fenris,Legs,1,10,Mountain,Armor,true
ArmorFlametalChest,$item_chest_flametal,Chest,1,10,Ashlands,Armor,true
ArmorFlametalLegs,$item_legs_flametal,Legs,1,10,Ashlands,Armor,true
ArmorHarvester1,$item_chest_harvester1,Chest,1,10,Global,Armor,true
ArmorHarvester2,$item_chest_harvester2,Chest,1,10,Global,Armor,true
ArmorIronChest,$item_chest_iron,Chest,1,15,Swamp,Armor,true
ArmorIronLegs,$item_legs_iron,Legs,1,15,Swamp,Armor,true
ArmorLeatherChest,$item_chest_leather,Chest,1,5,Meadows,Armor,true
ArmorLeatherLegs,$item_legs_leather,Legs,1,5,Meadows,Armor,true
ArmorMageChest,$item_chest_mage,Chest,1,5,Mistlands,Armor,true
ArmorMageChest_Ashlands,$item_chest_mage_ashlands,Chest,1,5,Ashlands,Armor,true
ArmorMageLegs,$item_legs_mage,Legs,1,5,Mistlands,Armor,true
ArmorMageLegs_Ashlands,$item_legs_mage_ashlands,Legs,1,5,Ashlands,Armor,true
ArmorPaddedCuirass,$item_chest_pcuirass,Chest,1,10,Plains,Armor,true
ArmorPaddedGreaves,$item_legs_pgreaves,Legs,1,10,Plains,Armor,true
ArmorRagsChest,$item_chest_rags,Chest,1,2,Global,Armor,true
ArmorRagsLegs,$item_legs_rags,Legs,1,2,Global,Armor,true
ArmorRootChest,$item_chest_root,Chest,1,10,Swamp,Armor,true
ArmorRootLegs,$item_legs_root,Legs,1,10,Swamp,Armor,true
