PrefabName,NameToken,ItemType,MaxStack,Weight,Biome,ChecklistCategory,IncludeInChecklist
Acorn,$item_oakseeds,Material,100,0.1,Global,Materials,TRUE
Amber,$item_amber,Material,20,0.1,Global,Materials,TRUE
AmberPearl,$item_amberpearl,Material,50,0.1,Global,Materials,TRUE
AncientSeed,$item_ancientseed,Misc,50,1,BlackForest,Items,TRUE
ArmorAshlandsMediumChest,$item_chest_medium_ashlands,Chest,1,5,Ashlands,Armor,TRUE
ArmorAshlandsMediumlegs,$item_legs_medium_ashlands,Legs,1,5,Ashlands,Armor,TRUE
ArmorBerserkerChest,$item_chest_berserker,Chest,1,5,BlackForest,Armor,TRUE
ArmorBerserkerLegs,$item_legs_berserker,Legs,1,5,BlackForest,Armor,TRUE
ArmorBerserkerUndeadChest,$item_chest_berserker_undead,Chest,1,5,BlackForest,Armor,TRUE
ArmorBerserkerUndeadLegs,$item_legs_berserker_undead,Legs,1,5,BlackForest,Armor,TRUE
ArmorBronzeChest,$item_chest_bronze,Chest,1,10,BlackForest,Armor,TRUE
ArmorBronzeLegs,$item_legs_bronze,Legs,1,10,BlackForest,Armor,TRUE
ArmorCarapaceChest,$item_chest_carapace,Chest,1,10,Mistlands,Armor,TRUE
ArmorCarapaceLegs,$item_legs_carapace,Legs,1,10,Mistlands,Armor,TRUE
ArmorDress1,$item_chest_dress1,Chest,1,10,Global,Armor,TRUE
ArmorDress10,$item_chest_dress10,Chest,1,10,Global,Armor,TRUE
ArmorDress2,$item_chest_dress2,Chest,1,10,Global,Armor,TRUE
ArmorDress3,$item_chest_dress3,Chest,1,10,Global,Armor,TRUE
ArmorDress4,$item_chest_dress4,Chest,1,10,Global,Armor,TRUE
ArmorDress5,$item_chest_dress5,Chest,1,10,Global,Armor,TRUE
ArmorDress6,$item_chest_dress6,Chest,1,10,Global,Armor,TRUE
ArmorDress7,$item_chest_dress7,Chest,1,10,Global,Armor,TRUE
ArmorDress8,$item_chest_dress8,Chest,1,10,Global,Armor,TRUE
ArmorDress9,$item_chest_dress9,Chest,1,10,Global,Armor,TRUE
ArmorFenringChest,$item_chest_fenris,Chest,1,10,Mountain,Armor,TRUE
ArmorFenringLegs,$item_legs_fenris,Legs,1,10,Mountain,Armor,TRUE
ArmorFlametalChest,$item_chest_flametal,Chest,1,10,Ashlands,Armor,TRUE
ArmorFlametalLegs,$item_legs_flametal,Legs,1,10,Ashlands,Armor,TRUE
ArmorHarvester1,$item_chest_harvester1,Chest,1,10,Global,Armor,TRUE
ArmorHarvester2,$item_chest_harvester2,Chest,1,10,Global,Armor,TRUE
ArmorIronChest,$item_chest_iron,Chest,1,15,Swamp,Armor,TRUE
ArmorIronLegs,$item_legs_iron,Legs,1,15,Swamp,Armor,TRUE
ArmorLeatherChest,$item_chest_leather,Chest,1,5,Meadows,Armor,TRUE
ArmorLeatherLegs,$item_legs_leather,Legs,1,5,Meadows,Armor,TRUE
ArmorMageChest,$item_chest_mage,Chest,1,5,Mistlands,Armor,TRUE
ArmorMageChest_Ashlands,$item_chest_mage_ashlands,Chest,1,5,Ashlands,Armor,TRUE
ArmorMageLegs,$item_legs_mage,Legs,1,5,Mistlands,Armor,TRUE
ArmorMageLegs_Ashlands,$item_legs_mage_ashlands,Legs,1,5,Ashlands,Armor,TRUE
ArmorPaddedCuirass,$item_chest_pcuirass,Chest,1,10,Plains,Armor,TRUE
ArmorPaddedGreaves,$item_legs_pgreaves,Legs,1,10,Plains,Armor,TRUE
ArmorRagsChest,$item_chest_rags,Chest,1,2,Global,Armor,TRUE
